"Pos","País","Población (2023)"
"1"," Estados Unidos","339 996 563"
"2"," Brasil","216 422 446"
"3"," México","128 455 567"
"4"," Colombia","52 085 168"
"5"," Argentina","45 773 884"
"6"," Canadá","38 781 291"
"7"," Perú","34 352 719"
"8"," Venezuela","28 838 499"
"9"," Chile","19 629 590"
"10"," Ecuador","18 190 484"
"11"," Guatemala","18 092 026"
"12"," Bolivia","12 388 571"
"13"," Haití","11 724 763"
"14"," República Dominicana","11 332 972"
"15"," Cuba","11 194 449"
"16"," Honduras","10 593 798"
"17"," Nicaragua","7 046 310"
"18"," El Salvador","6 364 943"
"19"," Paraguay","6 109 644"
"20"," Costa Rica","5 212 173"
"21"," Panamá","4 468 087"
"22"," Uruguay","3 423 108"
"23"," Puerto Rico","3 260 314"
"24"," Jamaica","2 825 544"
"25"," Trinidad y Tobago","1 534 937"
"26"," Guyana","813 834"
"27"," Surinam","613 236"
"28"," Bahamas","412 623"
"29"," Belice","410 825"
"30"," Barbados","281 995"
"31"," Santa Lucía","180 251"
"32"," Granada","126 183"
"33"," Aruba","106 277"
"34"," San Vicente y las Granadinas","103 698"
"35"," Antigua y Barbuda","97 929"
"36"," Dominica","73 040"
"37","San Cristóbal y Nieves","47 755"
"Total","América","1 045 081 665"
